time_s,lat_deg,lon_deg,alt_m,Px_m,Py_m,Pz_m,roll_deg,pitch_deg,yaw_deg,Bx_true_nT,By_true_nT,Bz_true_nT,B_total_true_nT,B_proj_D1_nT,B_proj_D2_nT,B_proj_D3_nT,B_proj_D4_nT,Bx_meas_nT,By_meas_nT,Bz_meas_nT,B_total_meas_nT
66.0,23.058073285251176,72.5714,1066.0,3960.00000000469,0.0,-66.0,0.0,5.0,0.0,34100.19235195026,326.45763588316584,30017.150260913302,45430.815564045086,37262.4427890265,2061.665515629717,-36873.65575667901,-2455.659264547998,34057.9313474132,338.9540210851901,30145.813330634333,45484.36697216936
67.0,23.058612274421648,72.5714,1067.0,4020.0000000047617,0.0,-67.0,0.0,5.0,0.0,34062.92663459904,347.4063283969943,29914.42608471642,45335.15799078072,37052.17753326823,2367.84172794416,-36681.94365521337,-2728.4577158873567,34134.57342929805,316.46727515337994,29721.04864564744,45261.57296574352
68.0,23.05915126359212,72.5714,1068.0,4080.0000000048326,0.0,-68.0,0.0,5.0,0.0,34104.076740119075,336.5837395361581,29885.715951479942,45347.07660745281,37177.09207295856,2299.017908244821,-36687.66571352479,-2455.562802579291,34043.17218369807,279.7137579388882,29925.584503780912,45327.2150038829
69.0,23.0596902527626,72.5714,1069.0,4140.000000005612,0.0,-69.0,0.0,5.0,0.0,34100.3879432015,351.86419648169664,29899.59856651462,45353.56943756832,37101.38787997154,2385.864741342868,-36680.45742672,-2691.170033277456,34146.896732203364,314.4693022337498,29750.05564148515,45289.90238511528
70.0,23.060229241933065,72.5714,1070.0,4200.000000004975,0.0,-70.0,0.0,5.0,0.0,34072.5991024537,325.1874978014329,29919.31058094153,45345.48381199715,37109.18364284509,2103.133639088004,-36719.21355700703,-2703.7021301920886,34050.05469188806,428.9157855301873,29887.21280387177,45308.22974312241
71.0,23.060768231103538,72.5714,1071.0,4260.000000005046,0.0,-71.0,0.0,5.0,0.0,34109.922005070606,304.37045990207974,29947.249289314925,45391.81821171338,37205.57491730063,2128.472636968232,-36708.59342262649,-2498.532875313607,34009.32589953153,375.44008346809,30002.22158244481,45353.15317901213
72.0,23.06130722027401,72.5714,1072.0,4320.000000005117,0.0,-72.0,0.0,5.0,0.0,34107.692705097514,347.8151347171129,29890.720290848527,45353.17890224504,37269.18992539289,2165.493522873137,-36760.36656129361,-2575.2743185457025,34108.5509662393,397.7672691922379,30002.925582126263,45428.26225273856
73.0,23.06184620944448,72.5714,1073.0,4380.00000000448,0.0,-73.0,0.0,5.0,0.0,34055.009425119344,382.4016782499886,29887.30652130265,45311.59883613461,37326.39456110958,2368.6760346078568,-36731.02330336867,-2787.932310120998,34300.67951660983,439.34660958857006,29834.925692707817,45462.64875514768
74.0,23.062385198614955,72.5714,1074.0,4440.000000005259,0.0,-74.0,0.0,5.0,0.0,34101.57336854839,338.7680515366867,29899.33283900897,45354.18585115459,37357.69985492531,2290.554584798695,-36765.865588298606,-2512.125871947658,34176.066987355814,352.2149365745354,30016.82370555442,45487.77105394495
75.0,23.062924187785427,72.5714,1075.0,4500.00000000533,0.0,-75.0,0.0,5.0,0.0,34079.74487336432,336.18433086693125,29933.71817438964,45360.43997010728,37123.34459764023,2352.581530467151,-36626.72552760949,-2594.179967952882,34076.72769172228,319.657557513843,29792.706567627756,45265.11809058536
